,町丁目,世帯数,総数,男,女,年度,月次,公開件数
229,大塚五丁目,2390,4346,2074,2272,2016,4,81
230,大塚六丁目,2254,3918,1969,1949,2016,4,75
231,関口一丁目,2661,4559,2131,2428,2016,4,165
232,関口二丁目,492,1019,480,539,2016,4,15
233,関口三丁目,453,936,456,480,2016,4,21
234,目白台一丁目,1204,2170,1139,1031,2016,4,42
235,目白台二丁目,1172,2160,1019,1141,2016,4,39
236,目白台三丁目,1327,2533,1174,1359,2016,4,43
237,音羽一丁目,2360,4009,1792,2217,2016,4,57
238,音羽二丁目,1020,1789,805,984,2016,4,26
239,本郷一丁目,2156,4212,1942,2270,2016,4,122
240,本郷二丁目,1868,3136,1481,1655,2016,4,162
241,本郷三丁目,1928,3018,1367,1651,2016,4,74
242,本郷四丁目,2275,4170,1983,2187,2016,4,73
243,本郷五丁目,1885,3358,1697,1661,2016,4,68
244,本郷六丁目,1094,1901,956,945,2016,4,57
245,湯島一丁目,462,682,317,365,2016,4,38
246,湯島二丁目,1686,2740,1383,1357,2016,4,117
247,湯島三丁目,1868,2876,1426,1450,2016,4,173
248,湯島四丁目,1181,2110,1063,1047,2016,4,49
249,西片一丁目,1185,2392,1132,1260,2016,4,41
250,西片二丁目,1439,2867,1423,1444,2016,4,63
251,向丘一丁目,1801,3353,1659,1694,2016,4,96
252,向丘二丁目,1879,3245,1509,1736,2016,4,107
253,弥生一丁目,232,413,204,209,2016,4,13
254,弥生二丁目,804,1510,727,783,2016,4,46
255,根津一丁目,1398,2516,1122,1394,2016,4,28
256,根津二丁目,2252,3834,1821,2013,2016,4,62
257,千駄木一丁目,714,1490,684,806,2016,4,17
258,千駄木二丁目,2555,4408,2101,2307,2016,4,93
259,千駄木三丁目,3777,6674,3178,3496,2016,4,157
260,千駄木四丁目,1644,3034,1478,1556,2016,4,66
261,千駄木五丁目,2230,4601,2220,2381,2016,4,64
262,本駒込一丁目,2349,4569,2140,2429,2016,4,107
263,本駒込二丁目,2581,4986,2395,2591,2016,4,65
264,本駒込三丁目,1830,3307,1567,1740,2016,4,74
265,本駒込四丁目,2126,4164,1988,2176,2016,4,77
266,本駒込五丁目,3062,5709,2750,2959,2016,4,136
267,本駒込六丁目,1808,3581,1658,1923,2016,4,75
268,後楽一丁目,442,727,359,368,2016,5,4
269,後楽二丁目,873,1506,754,752,2016,5,29
