,町丁目,世帯数,総数,男,女,年度,月次,公開件数
988,弥生一丁目,236,421,215,206,2015,3,31
989,弥生二丁目,827,1568,764,804,2015,3,26
990,根津一丁目,1392,2491,1109,1382,2015,3,35
991,根津二丁目,2179,3755,1783,1972,2015,3,72
992,千駄木一丁目,718,1479,686,793,2015,3,15
993,千駄木二丁目,2462,4336,2039,2297,2015,3,155
994,千駄木三丁目,3677,6606,3154,3452,2015,3,166
995,千駄木四丁目,1589,2978,1494,1484,2015,3,75
996,千駄木五丁目,2238,4591,2206,2385,2015,3,103
997,本駒込一丁目,2310,4526,2135,2391,2015,3,150
998,本駒込二丁目,2578,4911,2363,2548,2015,3,115
999,本駒込三丁目,1800,3235,1547,1688,2015,3,83
1000,本駒込四丁目,2117,4151,2010,2141,2015,3,118
1001,本駒込五丁目,3004,5619,2690,2929,2015,3,189
1002,本駒込六丁目,1739,3414,1554,1860,2015,3,93
1003,後楽一丁目,441,728,350,378,2015,4,8
1004,後楽二丁目,805,1434,723,711,2015,4,56
1005,春日一丁目,986,1571,722,849,2015,4,66
1006,春日二丁目,2043,4023,1930,2093,2015,4,55
1007,小石川一丁目,2002,3714,1710,2004,2015,4,83
1008,小石川二丁目,2126,3894,1846,2048,2015,4,63
1009,小石川三丁目,2453,5054,2387,2667,2015,4,73
1010,小石川四丁目,1696,3377,1539,1838,2015,4,55
1011,小石川五丁目,2914,5577,2562,3015,2015,4,116
1012,白山一丁目,2601,4659,2276,2383,2015,4,130
1013,白山二丁目,2199,4073,2008,2065,2015,4,130
1014,白山三丁目,529,1030,503,527,2015,4,16
1015,白山四丁目,2234,4321,2063,2258,2015,4,75
1016,白山五丁目,2102,3735,1721,2014,2015,4,110
1017,千石一丁目,1884,3862,1819,2043,2015,4,49
1018,千石二丁目,1940,3954,1897,2057,2015,4,66
1019,千石三丁目,2148,4320,2071,2249,2015,4,39
1020,千石四丁目,3144,5444,2594,2850,2015,4,187
1021,水道一丁目,1384,2551,1256,1295,2015,4,66
1022,水道二丁目,1923,3064,1548,1516,2015,4,112
1023,小日向一丁目,1134,2218,1016,1202,2015,4,27
1024,小日向二丁目,1072,2382,1139,1243,2015,4,46
1025,小日向三丁目,649,1300,618,682,2015,4,23
1026,小日向四丁目,966,1816,854,962,2015,4,34
1027,大塚一丁目,545,1157,540,617,2015,4,1
1028,大塚二丁目,1028,1911,820,1091,2015,4,10
1029,大塚三丁目,2024,3408,1585,1823,2015,4,149
1030,大塚四丁目,1772,3025,1414,1611,2015,4,76
1031,大塚五丁目,2369,4304,2043,2261,2015,4,89
1032,大塚六丁目,2156,3746,1876,1870,2015,4,81
1033,関口一丁目,2560,4348,2030,2318,2015,4,157
1034,関口二丁目,482,1005,470,535,2015,4,13
1035,関口三丁目,443,897,430,467,2015,4,20
1036,目白台一丁目,1237,2190,1173,1017,2015,4,44
1037,目白台二丁目,1166,2125,986,1139,2015,4,31
1038,目白台三丁目,1325,2550,1197,1353,2015,4,48
1039,音羽一丁目,2349,3955,1769,2186,2015,4,85
1040,音羽二丁目,972,1733,759,974,2015,4,40
1041,本郷一丁目,2117,4131,1908,2223,2015,4,88
1042,本郷二丁目,1774,2976,1398,1578,2015,4,105
1043,本郷三丁目,1922,2999,1393,1606,2015,4,90
1044,本郷四丁目,2194,3972,1893,2079,2015,4,89
1045,本郷五丁目,1858,3305,1688,1617,2015,4,66
1046,本郷六丁目,1077,1873,949,924,2015,4,76
1047,湯島一丁目,473,692,321,371,2015,4,32
1048,湯島二丁目,1587,2641,1334,1307,2015,4,108
1049,湯島三丁目,1841,2847,1404,1443,2015,4,139
1050,湯島四丁目,1163,2099,1053,1046,2015,4,60
1051,西片一丁目,1190,2394,1123,1271,2015,4,31
1052,西片二丁目,1432,2882,1433,1449,2015,4,57
1053,向丘一丁目,1777,3254,1617,1637,2015,4,97
1054,向丘二丁目,1854,3219,1502,1717,2015,4,100
1055,弥生一丁目,231,415,211,204,2015,4,18
1056,弥生二丁目,828,1573,764,809,2015,4,38
1057,根津一丁目,1386,2495,1113,1382,2015,4,33
1058,根津二丁目,2167,3733,1776,1957,2015,4,76
1059,千駄木一丁目,724,1488,687,801,2015,4,15
1060,千駄木二丁目,2491,4355,2047,2308,2015,4,130
1061,千駄木三丁目,3740,6682,3174,3508,2015,4,181
1062,千駄木四丁目,1592,2979,1486,1493,2015,4,63
1063,千駄木五丁目,2259,4625,2227,2398,2015,4,102
1064,本駒込一丁目,2319,4523,2134,2389,2015,4,159
1065,本駒込二丁目,2545,4888,2353,2535,2015,4,83
1066,本駒込三丁目,1826,3279,1563,1716,2015,4,74
1067,本駒込四丁目,2117,4148,1999,2149,2015,4,97
1068,本駒込五丁目,3019,5669,2727,2942,2015,4,180
1069,本駒込六丁目,1772,3457,1566,1891,2015,4,105
1070,後楽一丁目,449,738,354,384,2015,5,10
1071,後楽二丁目,828,1461,729,732,2015,5,52
1072,春日一丁目,981,1557,714,843,2015,5,71
1073,春日二丁目,2045,4019,1927,2092,2015,5,60
1074,小石川一丁目,1997,3699,1708,1991,2015,5,86
1075,小石川二丁目,2126,3886,1842,2044,2015,5,57
1076,小石川三丁目,2492,5119,2422,2697,2015,5,65
1077,小石川四丁目,1704,3391,1541,1850,2015,5,66
1078,小石川五丁目,2934,5593,2569,3024,2015,5,137
1079,白山一丁目,2602,4635,2267,2368,2015,5,126
1080,白山二丁目,2202,4075,2004,2071,2015,5,114
1081,白山三丁目,530,1024,499,525,2015,5,16
1082,白山四丁目,2242,4322,2060,2262,2015,5,74
1083,白山五丁目,2108,3744,1726,2018,2015,5,124
1084,千石一丁目,1900,3880,1830,2050,2015,5,49
1085,千石二丁目,1980,4057,1951,2106,2015,5,62
1086,千石三丁目,2141,4312,2068,2244,2015,5,46
1087,千石四丁目,3153,5489,2625,2864,2015,5,191
1088,水道一丁目,1382,2547,1254,1293,2015,5,61
1089,水道二丁目,1931,3077,1559,1518,2015,5,131
1090,小日向一丁目,1140,2222,1018,1204,2015,5,28
1091,小日向二丁目,1068,2375,1142,1233,2015,5,38
1092,小日向三丁目,652,1306,625,681,2015,5,14
1093,小日向四丁目,966,1817,857,960,2015,5,47
1094,大塚一丁目,544,1155,530,625,2015,5,1
1095,大塚二丁目,1044,1922,823,1099,2015,5,13
1096,大塚三丁目,2028,3400,1584,1816,2015,5,141
1097,大塚四丁目,1779,3038,1422,1616,2015,5,68
1098,大塚五丁目,2378,4314,2045,2269,2015,5,77
1099,大塚六丁目,2198,3810,1904,1906,2015,5,63
1100,関口一丁目,2579,4369,2047,2322,2015,5,142
1101,関口二丁目,485,1008,474,534,2015,5,4
1102,関口三丁目,445,901,434,467,2015,5,13
1103,目白台一丁目,1266,2219,1200,1019,2015,5,45
1104,目白台二丁目,1169,2124,989,1135,2015,5,22
1105,目白台三丁目,1337,2564,1196,1368,2015,5,44
1106,音羽一丁目,2354,3976,1785,2191,2015,5,98
1107,音羽二丁目,972,1728,758,970,2015,5,44
1108,本郷一丁目,2129,4140,1915,2225,2015,5,101
1109,本郷二丁目,1788,3006,1418,1588,2015,5,75
1110,本郷三丁目,1928,3004,1392,1612,2015,5,80
1111,本郷四丁目,2188,3968,1891,2077,2015,5,77
1112,本郷五丁目,1869,3309,1693,1616,2015,5,87
1113,本郷六丁目,1090,1878,946,932,2015,5,71
1114,湯島一丁目,476,690,322,368,2015,5,32
1115,湯島二丁目,1607,2672,1352,1320,2015,5,94
1116,湯島三丁目,1852,2858,1411,1447,2015,5,145
1117,湯島四丁目,1175,2104,1060,1044,2015,5,48
1118,西片一丁目,1184,2385,1125,1260,2015,5,34
1119,西片二丁目,1448,2903,1442,1461,2015,5,58
1120,向丘一丁目,1807,3281,1634,1647,2015,5,89
1121,向丘二丁目,1849,3210,1498,1712,2015,5,86
1122,弥生一丁目,229,412,208,204,2015,5,15
1123,弥生二丁目,822,1562,757,805,2015,5,29
1124,根津一丁目,1381,2487,1105,1382,2015,5,27
1125,根津二丁目,2191,3765,1802,1963,2015,5,80
1126,千駄木一丁目,722,1486,686,800,2015,5,22
1127,千駄木二丁目,2504,4361,2053,2308,2015,5,131
1128,千駄木三丁目,3788,6733,3203,3530,2015,5,174
1129,千駄木四丁目,1613,3001,1498,1503,2015,5,49
1130,千駄木五丁目,2258,4606,2221,2385,2015,5,91
1131,本駒込一丁目,2321,4524,2135,2389,2015,5,138
1132,本駒込二丁目,2597,4947,2404,2543,2015,5,98
1133,本駒込三丁目,1817,3270,1556,1714,2015,5,68
1134,本駒込四丁目,2115,4142,2000,2142,2015,5,92
1135,本駒込五丁目,3060,5713,2743,2970,2015,5,174
1136,本駒込六丁目,1774,3488,1587,1901,2015,5,115
1137,後楽一丁目,454,739,359,380,2015,6,6
1138,後楽二丁目,825,1457,722,735,2015,6,55
1139,春日一丁目,980,1553,711,842,2015,6,67
1140,春日二丁目,2050,4029,1926,2103,2015,6,74
1141,小石川一丁目,1991,3686,1698,1988,2015,6,88
1142,小石川二丁目,2131,3903,1852,2051,2015,6,69
1143,小石川三丁目,2495,5132,2427,2705,2015,6,60
1144,小石川四丁目,1695,3388,1538,1850,2015,6,63
1145,小石川五丁目,2931,5588,2567,3021,2015,6,123
1146,白山一丁目,2612,4650,2277,2373,2015,6,135
1147,白山二丁目,2204,4084,2005,2079,2015,6,98
1148,白山三丁目,529,1018,495,523,2015,6,14
1149,白山四丁目,2248,4316,2051,2265,2015,6,68
1150,白山五丁目,2110,3761,1731,2030,2015,6,122
1151,千石一丁目,1901,3888,1831,2057,2015,6,52
1152,千石二丁目,1986,4080,1963,2117,2015,6,60
1153,千石三丁目,2123,4287,2051,2236,2015,6,46
1154,千石四丁目,3164,5497,2624,2873,2015,6,166
1155,水道一丁目,1375,2546,1252,1294,2015,6,74
1156,水道二丁目,1917,3063,1554,1509,2015,6,110
1157,小日向一丁目,1141,2221,1012,1209,2015,6,19
1158,小日向二丁目,1067,2379,1143,1236,2015,6,39
1159,小日向三丁目,651,1303,621,682,2015,6,11
1160,小日向四丁目,965,1809,855,954,2015,6,47
1161,大塚一丁目,552,1162,537,625,2015,6,2
1162,大塚二丁目,1043,1920,818,1102,2015,6,10
1163,大塚三丁目,2036,3414,1585,1829,2015,6,150
1164,大塚四丁目,1775,3041,1420,1621,2015,6,72
1165,大塚五丁目,2377,4315,2052,2263,2015,6,67
1166,大塚六丁目,2208,3823,1911,1912,2015,6,54
1167,関口一丁目,2593,4392,2052,2340,2015,6,122
1168,関口二丁目,488,1014,477,537,2015,6,3
1169,関口三丁目,446,901,436,465,2015,6,10
1170,目白台一丁目,1263,2219,1196,1023,2015,6,46
1171,目白台二丁目,1172,2134,994,1140,2015,6,14
1172,目白台三丁目,1336,2554,1186,1368,2015,6,45
1173,音羽一丁目,2351,3989,1788,2201,2015,6,111
1174,音羽二丁目,975,1733,759,974,2015,6,56
1175,本郷一丁目,2126,4132,1910,2222,2015,6,91
1176,本郷二丁目,1807,3026,1430,1596,2015,6,96
1177,本郷三丁目,1921,2993,1379,1614,2015,6,95
1178,本郷四丁目,2177,3956,1882,2074,2015,6,83
1179,本郷五丁目,1873,3308,1693,1615,2015,6,70
1180,本郷六丁目,1086,1872,942,930,2015,6,73
1181,湯島一丁目,472,687,320,367,2015,6,41
1182,湯島二丁目,1615,2681,1357,1324,2015,6,92
1183,湯島三丁目,1850,2848,1406,1442,2015,6,166
1184,湯島四丁目,1184,2128,1074,1054,2015,6,52
1185,西片一丁目,1183,2387,1128,1259,2015,6,26
1186,西片二丁目,1440,2882,1431,1451,2015,6,59
1187,向丘一丁目,1807,3283,1637,1646,2015,6,87
1188,向丘二丁目,1859,3225,1506,1719,2015,6,97
1189,弥生一丁目,231,415,207,208,2015,6,11
1190,弥生二丁目,819,1565,758,807,2015,6,32
1191,根津一丁目,1385,2494,1110,1384,2015,6,23
1192,根津二丁目,2191,3761,1800,1961,2015,6,81
1193,千駄木一丁目,719,1493,687,806,2015,6,22
1194,千駄木二丁目,2508,4364,2060,2304,2015,6,139
1195,千駄木三丁目,3800,6755,3217,3538,2015,6,149
1196,千駄木四丁目,1609,2999,1499,1500,2015,6,56
1197,千駄木五丁目,2263,4621,2233,2388,2015,6,71
1198,本駒込一丁目,2317,4515,2129,2386,2015,6,113
1199,本駒込二丁目,2588,4917,2390,2527,2015,6,115
1200,本駒込三丁目,1820,3273,1559,1714,2015,6,85
1201,本駒込四丁目,2119,4149,2003,2146,2015,6,105
1202,本駒込五丁目,3055,5715,2742,2973,2015,6,170
1203,本駒込六丁目,1785,3507,1599,1908,2015,6,98
1204,後楽一丁目,449,731,355,376,2015,7,10
1205,後楽二丁目,827,1462,724,738,2015,7,51
1206,春日一丁目,976,1540,709,831,2015,7,62
1207,春日二丁目,2043,4021,1924,2097,2015,7,65
1208,小石川一丁目,1971,3658,1689,1969,2015,7,84
1209,小石川二丁目,2138,3920,1866,2054,2015,7,54
1210,小石川三丁目,2493,5131,2431,2700,2015,7,57
1211,小石川四丁目,1692,3375,1534,1841,2015,7,52
1212,小石川五丁目,2932,5589,2564,3025,2015,7,112
1213,白山一丁目,2608,4651,2282,2369,2015,7,129
1214,白山二丁目,2225,4109,2020,2089,2015,7,110
1215,白山三丁目,532,1024,498,526,2015,7,15
1216,白山四丁目,2247,4326,2057,2269,2015,7,80
1217,白山五丁目,2114,3757,1724,2033,2015,7,87
1218,千石一丁目,1900,3888,1831,2057,2015,7,49
1219,千石二丁目,1985,4077,1961,2116,2015,7,66
1220,千石三丁目,2109,4255,2033,2222,2015,7,42
1221,千石四丁目,3164,5494,2621,2873,2015,7,189
1222,水道一丁目,1379,2556,1256,1300,2015,7,64
1223,水道二丁目,1917,3066,1550,1516,2015,7,125
1224,小日向一丁目,1148,2236,1017,1219,2015,7,19
1225,小日向二丁目,1071,2388,1146,1242,2015,7,29
1226,小日向三丁目,647,1295,618,677,2015,7,13
1227,小日向四丁目,963,1803,853,950,2015,7,46
1228,大塚一丁目,553,1160,535,625,2015,7,5
1229,大塚二丁目,1049,1925,822,1103,2015,7,17
1230,大塚三丁目,2066,3452,1606,1846,2015,7,144
1231,大塚四丁目,1784,3064,1431,1633,2015,7,60
1232,大塚五丁目,2388,4330,2058,2272,2015,7,78
1233,大塚六丁目,2201,3814,1912,1902,2015,7,55
1234,関口一丁目,2604,4412,2069,2343,2015,7,132
1235,関口二丁目,487,1013,474,539,2015,7,7
1236,関口三丁目,446,898,435,463,2015,7,10
1237,目白台一丁目,1262,2222,1196,1026,2015,7,54
1238,目白台二丁目,1166,2123,989,1134,2015,7,17
1239,目白台三丁目,1332,2551,1186,1365,2015,7,56
1240,音羽一丁目,2351,3993,1789,2204,2015,7,100
1241,音羽二丁目,961,1715,751,964,2015,7,63
1242,本郷一丁目,2119,4113,1901,2212,2015,7,88
1243,本郷二丁目,1823,3052,1438,1614,2015,7,84
1244,本郷三丁目,1922,2990,1387,1603,2015,7,85
1245,本郷四丁目,2166,3940,1887,2053,2015,7,72
1246,本郷五丁目,1877,3320,1701,1619,2015,7,61
1247,本郷六丁目,1081,1878,942,936,2015,7,78
1248,湯島一丁目,470,684,319,365,2015,7,30
1249,湯島二丁目,1613,2687,1356,1331,2015,7,84
1250,湯島三丁目,1852,2854,1408,1446,2015,7,182
1251,湯島四丁目,1187,2126,1076,1050,2015,7,46
1252,西片一丁目,1180,2379,1131,1248,2015,7,28
1253,西片二丁目,1454,2904,1445,1459,2015,7,45
1254,向丘一丁目,1789,3266,1624,1642,2015,7,109
1255,向丘二丁目,1855,3217,1507,1710,2015,7,89
1256,弥生一丁目,227,410,203,207,2015,7,11
1257,弥生二丁目,818,1561,756,805,2015,7,34
1258,根津一丁目,1384,2492,1108,1384,2015,7,28
1259,根津二丁目,2219,3800,1824,1976,2015,7,60
1260,千駄木一丁目,714,1490,686,804,2015,7,20
1261,千駄木二丁目,2506,4354,2053,2301,2015,7,128
1262,千駄木三丁目,3800,6762,3223,3539,2015,7,167
1263,千駄木四丁目,1610,3013,1503,1510,2015,7,62
1264,千駄木五丁目,2269,4642,2243,2399,2015,7,78
1265,本駒込一丁目,2323,4530,2135,2395,2015,7,115
1266,本駒込二丁目,2584,4915,2391,2524,2015,7,134
1267,本駒込三丁目,1814,3264,1553,1711,2015,7,79
1268,本駒込四丁目,2123,4155,2005,2150,2015,7,86
1269,本駒込五丁目,3061,5708,2735,2973,2015,7,158
1270,本駒込六丁目,1788,3506,1598,1908,2015,7,80
1271,後楽一丁目,448,734,355,379,2015,8,9
1272,後楽二丁目,836,1475,729,746,2015,8,33
1273,春日一丁目,975,1537,708,829,2015,8,62
1274,春日二丁目,2046,4026,1926,2100,2015,8,65
1275,小石川一丁目,1953,3648,1681,1967,2015,8,65
1276,小石川二丁目,2132,3913,1860,2053,2015,8,42
1277,小石川三丁目,2508,5152,2447,2705,2015,8,62
1278,小石川四丁目,1686,3360,1526,1834,2015,8,62
1279,小石川五丁目,2929,5581,2556,3025,2015,8,95
1280,白山一丁目,2616,4664,2286,2378,2015,8,110
1281,白山二丁目,2224,4115,2017,2098,2015,8,104
1282,白山三丁目,534,1030,502,528,2015,8,13
1283,白山四丁目,2241,4329,2050,2279,2015,8,76
1284,白山五丁目,2133,3778,1732,2046,2015,8,88
1285,千石一丁目,1893,3853,1815,2038,2015,8,43
1286,千石二丁目,1998,4113,1985,2128,2015,8,46
1287,千石三丁目,2106,4256,2036,2220,2015,8,44
1288,千石四丁目,3175,5514,2630,2884,2015,8,176
1289,水道一丁目,1392,2573,1264,1309,2015,8,78
1290,水道二丁目,1913,3063,1544,1519,2015,8,110
1291,小日向一丁目,1140,2227,1012,1215,2015,8,19
1292,小日向二丁目,1073,2386,1146,1240,2015,8,18
1293,小日向三丁目,646,1293,615,678,2015,8,21
1294,小日向四丁目,963,1800,848,952,2015,8,36
1295,大塚一丁目,555,1169,539,630,2015,8,8
1296,大塚二丁目,1051,1927,821,1106,2015,8,24
1297,大塚三丁目,2070,3459,1605,1854,2015,8,155
1298,大塚四丁目,1791,3059,1420,1639,2015,8,63
1299,大塚五丁目,2398,4346,2068,2278,2015,8,88
1300,大塚六丁目,2199,3824,1916,1908,2015,8,57
1301,関口一丁目,2605,4414,2075,2339,2015,8,131
1302,関口二丁目,484,1014,477,537,2015,8,9
1303,関口三丁目,445,899,436,463,2015,8,10
1304,目白台一丁目,1253,2211,1186,1025,2015,8,46
1305,目白台二丁目,1173,2137,1000,1137,2015,8,21
1306,目白台三丁目,1327,2541,1181,1360,2015,8,45
1307,音羽一丁目,2346,3994,1792,2202,2015,8,86
1308,音羽二丁目,965,1723,753,970,2015,8,41
1309,本郷一丁目,2121,4131,1904,2227,2015,8,56
1310,本郷二丁目,1827,3065,1442,1623,2015,8,86
1311,本郷三丁目,1923,2999,1388,1611,2015,8,97
1312,本郷四丁目,2175,3945,1889,2056,2015,8,59
1313,本郷五丁目,1879,3322,1701,1621,2015,8,63
1314,本郷六丁目,1079,1882,943,939,2015,8,81
1315,湯島一丁目,466,680,315,365,2015,8,21
1316,湯島二丁目,1618,2688,1358,1330,2015,8,83
1317,湯島三丁目,1846,2853,1408,1445,2015,8,172
1318,湯島四丁目,1185,2131,1082,1049,2015,8,59
1319,西片一丁目,1186,2392,1137,1255,2015,8,30
1320,西片二丁目,1461,2911,1451,1460,2015,8,44
1321,向丘一丁目,1798,3274,1627,1647,2015,8,105
1322,向丘二丁目,1851,3220,1517,1703,2015,8,77
1323,弥生一丁目,231,417,206,211,2015,8,12
1324,弥生二丁目,821,1565,756,809,2015,8,45
1325,根津一丁目,1385,2497,1113,1384,2015,8,29
1326,根津二丁目,2225,3802,1825,1977,2015,8,55
1327,千駄木一丁目,716,1485,681,804,2015,8,19
1328,千駄木二丁目,2511,4360,2055,2305,2015,8,120
1329,千駄木三丁目,3774,6741,3206,3535,2015,8,172
1330,千駄木四丁目,1609,3020,1504,1516,2015,8,79
1331,千駄木五丁目,2264,4617,2235,2382,2015,8,63
1332,本駒込一丁目,2339,4562,2150,2412,2015,8,99
1333,本駒込二丁目,2582,4925,2402,2523,2015,8,118
1334,本駒込三丁目,1803,3251,1546,1705,2015,8,63
1335,本駒込四丁目,2117,4153,2003,2150,2015,8,73
1336,本駒込五丁目,3066,5721,2748,2973,2015,8,149
1337,本駒込六丁目,1796,3524,1615,1909,2015,8,61
1338,後楽一丁目,443,732,357,375,2015,9,7
1339,後楽二丁目,841,1481,729,752,2015,9,41
1340,春日一丁目,951,1508,679,829,2015,9,46
1341,春日二丁目,2037,4033,1927,2106,2015,9,68
1342,小石川一丁目,1946,3654,1688,1966,2015,9,57
1343,小石川二丁目,2137,3918,1859,2059,2015,9,34
1344,小石川三丁目,2507,5157,2451,2706,2015,9,60
1345,小石川四丁目,1681,3350,1524,1826,2015,9,75
1346,小石川五丁目,2924,5583,2562,3021,2015,9,124
1347,白山一丁目,2616,4668,2277,2391,2015,9,118
1348,白山二丁目,2222,4128,2026,2102,2015,9,121
1349,白山三丁目,530,1027,502,525,2015,9,15
1350,白山四丁目,2238,4324,2055,2269,2015,9,70
1351,白山五丁目,2132,3771,1732,2039,2015,9,90
1352,千石一丁目,1893,3843,1805,2038,2015,9,44
1353,千石二丁目,2004,4131,1994,2137,2015,9,46
1354,千石三丁目,2099,4242,2027,2215,2015,9,55
1355,千石四丁目,3180,5521,2638,2883,2015,9,156
1356,水道一丁目,1394,2587,1276,1311,2015,9,71
1357,水道二丁目,1918,3077,1551,1526,2015,9,121
1358,小日向一丁目,1144,2231,1017,1214,2015,9,14
1359,小日向二丁目,1082,2403,1155,1248,2015,9,20
1360,小日向三丁目,644,1291,615,676,2015,9,20
1361,小日向四丁目,959,1802,856,946,2015,9,40
1362,大塚一丁目,559,1172,540,632,2015,9,4
1363,大塚二丁目,1053,1929,825,1104,2015,9,20
1364,大塚三丁目,2068,3461,1598,1863,2015,9,172
1365,大塚四丁目,1786,3057,1420,1637,2015,9,57
1366,大塚五丁目,2391,4332,2067,2265,2015,9,87
1367,大塚六丁目,2194,3807,1909,1898,2015,9,65
1368,関口一丁目,2614,4440,2085,2355,2015,9,102
1369,関口二丁目,484,1010,476,534,2015,9,7
1370,関口三丁目,446,906,443,463,2015,9,11
1371,目白台一丁目,1243,2198,1175,1023,2015,9,32
1372,目白台二丁目,1162,2122,999,1123,2015,9,23
1373,目白台三丁目,1323,2528,1175,1353,2015,9,37
1374,音羽一丁目,2354,4003,1795,2208,2015,9,92
1375,音羽二丁目,968,1732,761,971,2015,9,33
1376,本郷一丁目,2126,4140,1908,2232,2015,9,85
1377,本郷二丁目,1835,3083,1451,1632,2015,9,80
1378,本郷三丁目,1919,2996,1387,1609,2015,9,98
1379,本郷四丁目,2171,3945,1894,2051,2015,9,76
1380,本郷五丁目,1885,3334,1708,1626,2015,9,62
1381,本郷六丁目,1082,1884,946,938,2015,9,72
1382,湯島一丁目,467,681,317,364,2015,9,26
1383,湯島二丁目,1634,2694,1361,1333,2015,9,86
1384,湯島三丁目,1839,2837,1399,1438,2015,9,151
1385,湯島四丁目,1187,2127,1080,1047,2015,9,41
1386,西片一丁目,1187,2390,1136,1254,2015,9,25
1387,西片二丁目,1459,2904,1447,1457,2015,9,40
1388,向丘一丁目,1792,3268,1625,1643,2015,9,91
1389,向丘二丁目,1862,3238,1521,1717,2015,9,66
1390,弥生一丁目,231,415,206,209,2015,9,12
1391,弥生二丁目,820,1563,756,807,2015,9,49
1392,根津一丁目,1377,2483,1107,1376,2015,9,29
1393,根津二丁目,2217,3782,1815,1967,2015,9,66
1394,千駄木一丁目,710,1476,676,800,2015,9,19
1395,千駄木二丁目,2512,4353,2056,2297,2015,9,114
1396,千駄木三丁目,3724,6679,3178,3501,2015,9,208
1397,千駄木四丁目,1608,3016,1501,1515,2015,9,83
1398,千駄木五丁目,2257,4620,2228,2392,2015,9,74
1399,本駒込一丁目,2342,4571,2154,2417,2015,9,114
1400,本駒込二丁目,2578,4933,2406,2527,2015,9,95
1401,本駒込三丁目,1797,3248,1542,1706,2015,9,68
1402,本駒込四丁目,2119,4159,2003,2156,2015,9,62
1403,本駒込五丁目,3057,5715,2743,2972,2015,9,150
1404,本駒込六丁目,1801,3541,1628,1913,2015,9,69
1405,後楽一丁目,442,733,361,372,2015,10,3
1406,後楽二丁目,845,1489,733,756,2015,10,46
1407,春日一丁目,948,1503,672,831,2015,10,44
1408,春日二丁目,2041,4034,1924,2110,2015,10,75
1409,小石川一丁目,1911,3605,1663,1942,2015,10,40
1410,小石川二丁目,2144,3923,1861,2062,2015,10,54
1411,小石川三丁目,2503,5145,2443,2702,2015,10,55
1412,小石川四丁目,1683,3346,1522,1824,2015,10,76
1413,小石川五丁目,2936,5591,2561,3030,2015,10,139
1414,白山一丁目,2628,4683,2290,2393,2015,10,109
1415,白山二丁目,2227,4128,2027,2101,2015,10,124
1416,白山三丁目,534,1027,501,526,2015,10,15
1417,白山四丁目,2243,4317,2053,2264,2015,10,66
1418,白山五丁目,2131,3757,1724,2033,2015,10,103
1419,千石一丁目,1896,3850,1806,2044,2015,10,57
1420,千石二丁目,2011,4150,2009,2141,2015,10,44
1421,千石三丁目,2106,4266,2043,2223,2015,10,57
1422,千石四丁目,3167,5503,2634,2869,2015,10,153
1423,水道一丁目,1398,2590,1279,1311,2015,10,63
1424,水道二丁目,1915,3058,1542,1516,2015,10,112
1425,小日向一丁目,1148,2246,1024,1222,2015,10,18
1426,小日向二丁目,1084,2417,1163,1254,2015,10,22
1427,小日向三丁目,641,1278,607,671,2015,10,19
1428,小日向四丁目,954,1789,848,941,2015,10,40
1429,大塚一丁目,567,1184,550,634,2015,10,8
1430,大塚二丁目,1056,1925,820,1105,2015,10,25
1431,大塚三丁目,2072,3462,1603,1859,2015,10,180
1432,大塚四丁目,1796,3075,1428,1647,2015,10,55
1433,大塚五丁目,2381,4325,2065,2260,2015,10,82
1434,大塚六丁目,2197,3802,1914,1888,2015,10,74
1435,関口一丁目,2650,4482,2097,2385,2015,10,97
1436,関口二丁目,489,1012,480,532,2015,10,9
1437,関口三丁目,445,914,445,469,2015,10,13
1438,目白台一丁目,1268,2220,1191,1029,2015,10,32
1439,目白台二丁目,1158,2115,996,1119,2015,10,18
1440,目白台三丁目,1325,2530,1175,1355,2015,10,34
1441,音羽一丁目,2345,3997,1789,2208,2015,10,99
1442,音羽二丁目,962,1722,758,964,2015,10,28
1443,本郷一丁目,2116,4118,1899,2219,2015,10,92
1444,本郷二丁目,1836,3073,1451,1622,2015,10,116
1445,本郷三丁目,1927,3005,1389,1616,2015,10,76
1446,本郷四丁目,2227,4068,1951,2117,2015,10,83
1447,本郷五丁目,1894,3352,1716,1636,2015,10,67
1448,本郷六丁目,1093,1895,948,947,2015,10,55
1449,湯島一丁目,468,686,317,369,2015,10,20
1450,湯島二丁目,1636,2689,1360,1329,2015,10,77
1451,湯島三丁目,1838,2840,1400,1440,2015,10,164
1452,湯島四丁目,1197,2141,1082,1059,2015,10,44
1453,西片一丁目,1194,2393,1140,1253,2015,10,33
1454,西片二丁目,1448,2880,1427,1453,2015,10,45
1455,向丘一丁目,1804,3276,1639,1637,2015,10,93
1456,向丘二丁目,1866,3245,1517,1728,2015,10,67
1457,弥生一丁目,231,415,205,210,2015,10,10
1458,弥生二丁目,823,1558,755,803,2015,10,50
1459,根津一丁目,1377,2484,1106,1378,2015,10,24
1460,根津二丁目,2218,3787,1808,1979,2015,10,89
1461,千駄木一丁目,713,1481,678,803,2015,10,15
1462,千駄木二丁目,2515,4354,2051,2303,2015,10,95
1463,千駄木三丁目,3787,6742,3200,3542,2015,10,173
1464,千駄木四丁目,1623,3033,1501,1532,2015,10,69
1465,千駄木五丁目,2257,4623,2231,2392,2015,10,84
1466,本駒込一丁目,2339,4559,2145,2414,2015,10,108
1467,本駒込二丁目,2597,4963,2416,2547,2015,10,131
